participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
3,1qea550s,607081b0ecb2499634a349dd,4,left,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1B.bmp,2,1,0,1,0,NA,NA,0,1,13,13,1,0,1,12,13,1.21,1.51,0.44,0.77,0.59,-60,60,-60,0,180,0,0,1,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,6,25,1.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
4,tvjxjmb3,5c18daaae467040001e68fc4,2,left,left,NA,NA,1,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,1,1,15,18,0,1,1,14,15,0.54,0.8,3,0.43,2.86,20,40,100,140,100,0,0,1,0,1,0,0,1,1,2,1,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,-1,1,-1,-1,1,0,1,1,1,0,1,1,0,8,25,0.54,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
5,ryfpi8q6,642edde09e616b33709868d0,4,right,right,NA,NA,3,1,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,NA,0,0,9,17,0,0,0,11,15,0.82,1.57,0.4,0.62,0.37,-60,-20,-120,260,160,0,0,-1,0,0,0,0,1,1,2,2,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,4,25,0.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
7,odedi3k6,60de3c34940c209d729e32b8,4,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,1,1,13,12,0,1,1,13,14,0.5,0.73,0.9,0.37,1,60,60,0,60,0,0,0,1,0,0,0,0,1,2,2,2,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,1,-1,1,1,0,1,0,0,0,1,0,0,5,25,0.75,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
9,z9etaxcc,66e84a9aeb1250e4e671ae2c,3,left,right,NA,NA,1,1,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,1,0,16,14,1,1,0,13,9,0.73,0.53,0.9,0.38,0.72,20,-20,0,-280,-80,0,0,-1,0,0,0,0,1,1,1,2,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,4,25,0.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
11,un6k5phh,5ced66139b5b490001b688ed,1,right,left,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,1,0,1,0,NA,NA,0,1,7,19,1,0,1,9,15,1.44,1.63,1.04,0.37,0.42,-60,60,-520,200,-440,0,0,1,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,6,25,1.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
13,k6q60ycc,676c67883fa1ba4ea4eb05a7,2,right,right,NA,NA,1,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,1,1,16,19,0,1,1,15,18,0.6,1.34,0.86,1.11,0.58,20,40,160,480,260,0,0,1,0,0,0,0,1,2,2,2,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,-1,1,1,1,1,0,0,0,1,0,0,0,5,25,0.75,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
15,yv9v2yo6,5774ed97d8e8880001b2ff6c,2,right,left,NA,NA,2,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,1,0,1,0,NA,NA,0,1,13,13,1,0,1,13,15,1.08,1.61,1.19,1.3,0.4,-40,20,0,80,280,0,0,1,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,6,25,1.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
16,1t7ohl07,56cf6e8d31a5bc0006e1cdf5,3,left,right,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1B.bmp,2,0.25,0.75,0.5,0.5,NA,NA,0,1,14,12,1,0,1,14,12,0.43,0.3,1.73,1.75,1.03,-40,40,100,-60,80,0,0,1,0,0,0,0,2,1,2,2,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,-1,-1,1,0,1,1,0,0,1,1,0,0,9,25,0.56,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
18,a99rlqe4,60f816ff1fa74fcfab532378,3,right,left,NA,NA,1,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,0.5,0.5,0.25,0.75,NA,NA,0,1,19,20,1,0,1,15,16,0.42,0.77,0.3,1.16,1.77,-20,60,280,340,360,0,0,1,0,0,0,0,1,2,2,1,NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,-1,1,-1,-1,1,0,1,1,1,0,1,1,0,8,25,0.54,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
21,nv08idgd,62e154b0682e270b4acdf5ee,5,right,left,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,1,0,16,11,1,1,0,13,9,0.58,0.62,0.26,0.5,0.26,60,-60,0,-460,-360,0,0,-1,0,0,0,0,1,1,2,1,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,4,25,0.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
24,h3bte67c,5c69a12bb1b0080001bfca6a,1,left,left,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,20,22,0,1,1,15,17,0.56,0.66,0.82,0.89,0.11,60,40,180,380,200,0,0,1,0,0,0,0,1,1,2,2,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,-1,1,-1,1,1,0,1,0,1,0,1,0,0,9,25,0.56,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
28,wvr9t584,58ae2cb09e040a000139af76,5,right,right,NA,NA,3,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,15,16,0,1,1,15,18,0.37,0.77,1.35,0.48,0.47,60,40,220,420,280,0,0,1,0,0,0,0,2,1,1,2,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,1,-1,1,-1,0,1,0,1,0,1,0,1,0,9,25,0.56,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
29,xsivnywo,6659fb60e288516b96e02bd8,3,right,left,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,1,0,1,0,NA,NA,0,1,8,15,1,0,1,12,15,1.16,0.37,0.42,0.47,0.09,-40,40,-100,120,180,0,0,1,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,6,25,1.82,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,25
1,wg76txs9,66bcce7233ce3b6b5aaecd5e,2,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,0,0,8,8,0,1,1,13,13,0.55,0.98,0.4,0.78,0.57,60,60,-100,-80,-60,0,0,1,0,0,0,0,2,2,1,2,NA,NA,NA,NA,1,1,0,1,NA,NA,NA,NA,-1,-1,1,1,1,0,0,0,1,0,0,0,0,4,26,0.75,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
2,zsdmu1cy,641ecfa9f83175a3d9f63636,5,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.25,0.75,NA,NA,1,1,22,22,0,0,0,17,17,0.64,0.63,1.06,0.59,0.4,-60,-60,420,420,420,0,0,-1,0,0,0,0,2,1,2,2,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,-1,-1,1,0,1,0,0,0,1,0,0,5,26,0.64,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
3,1qea550s,607081b0ecb2499634a349dd,4,left,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,1,0,14,13,1,0,1,12,14,1.38,0.51,1.15,0.41,0.26,-60,60,-120,60,240,0,0,1,0,0,0,0,1,1,2,1,2,2,1,2,0,0,1,0,1,1,0,1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,6,26,1.6,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
4,tvjxjmb3,5c18daaae467040001e68fc4,2,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.25,0.75,NA,NA,1,1,16,19,0,0,0,14,15,1.2,0.56,3,2.14,1.16,-60,-60,40,80,40,0,0,-1,0,1,0,0,2,2,2,1,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,-1,-1,-1,-1,1,0,1,1,1,0,1,1,0,8,26,1.2,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
5,ryfpi8q6,642edde09e616b33709868d0,4,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,0,0,9,17,0,1,1,12,16,0.61,0.4,0.32,0.4,0.42,60,60,-60,320,220,0,0,1,0,0,0,0,2,1,2,2,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,-1,1,-1,1,1,0,0,0,1,0,0,0,0,4,26,0.75,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
7,odedi3k6,60de3c34940c209d729e32b8,4,right,right,NA,NA,2,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.25,0.75,NA,NA,1,1,14,13,0,0,0,13,14,0.44,1.09,0.43,0.32,0.37,-40,-60,-40,0,-60,0,0,-1,0,0,0,0,2,1,2,2,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,NA,1,1,-1,-1,1,0,1,0,0,0,1,0,0,5,26,0.64,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
9,z9etaxcc,66e84a9aeb1250e4e671ae2c,3,right,right,NA,NA,1,1,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0,1,NA,NA,1,1,17,15,0,0,0,13,9,0.75,1.3,1.08,0.87,0.2,-20,-20,-20,-300,-100,0,0,-1,0,0,0,0,2,1,1,2,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,-1,1,1,1,1,0,0,0,1,0,0,0,0,4,26,0.75,1,0,0.3,0.7,option1B.bmp,option1A.bmp,0,26
