participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
14,ulvjek94,614ee866eb22f6b60f499a91,5,left,left,NA,NA,1,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,1,1,36,36,0,1,1,25,25,0.82,1.68,0.41,0.61,0.29,20,20,-160,60,-60,0,0,1,0,0,0,0,2,2,2,1,1,2,2,2,1,1,1,0,0,1,1,1,-1,1,1,1,1,0,0,1,1,0,0,0,0,4,51,1.39,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
16,pkgo70d1,6765ad2b94f8f4ac95f58d3f,2,left,left,NA,NA,2,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,29,30,0,1,1,24,29,0.35,0.76,0.6,0.35,0.32,40,60,-220,240,-60,0,0,1,0,0,0,0,2,1,2,1,2,1,2,1,1,0,1,0,1,0,1,0,1,-1,1,-1,0,1,0,0,1,0,0,0,0,6,51,1.97,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
17,5mcvoq81,67a61fee0bd46caa06817695,3,right,right,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,1,0,1,0,NA,NA,1,1,34,40,0,1,1,24,28,0.82,0.48,0.54,0.37,0.31,40,40,-240,100,-140,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,5,51,0.93,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
19,gx8bqx1i,568aebfc39a70e000b57acf9,1,left,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1B.bmp,2,0,1,0.75,0.25,NA,NA,0,1,34,32,1,0,1,26,28,0.83,0.64,0.54,0.27,0.04,-60,60,0,160,80,0,0,1,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,-1,0,0,0,1,0,0,0,0,0,2,51,1.18,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
20,q2a6n9wm,66b8e2fd7ed9ec6e6bb94a9d,1,NA,NA,right,left,3,2,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1A.bmp,1,0.75,0.25,0,1,option1B_tr.bmp,option1A_tr.bmp,1,0,28,32,1,1,0,32,32,0.95,3,3,3,3,60,-40,500,620,360,0,0,-1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,4,51,1.39,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
21,bdjt9qnd,5d6f8881a273800019397e62,1,left,NA,NA,left,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,option1B_tr.bmp,1,1,29,26,0,1,1,27,22,0.64,0.74,0.37,3,0.08,40,40,20,-300,60,0,0,1,0,0,1,0,2,1,2,1,2,1,2,1,1,0,1,0,1,0,1,0,1,-1,1,-1,0,1,0,0,0,0,0,0,1,6,51,1.97,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
22,03n9wgbz,5aea25acd9f2be0001933493,5,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,0,0,30,33,0,0,0,24,25,0.73,2.05,0.34,0.14,0.3,-60,-60,-280,-120,0,0,0,-1,0,0,0,0,2,2,1,2,2,2,1,2,1,1,0,1,1,1,0,1,1,1,-1,1,0,0,1,0,1,0,0,0,0,6,51,1.97,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
23,t9yryue1,62b57d34b7bdc2d0835fab76,3,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,1,1,24,25,0,1,1,30,32,1.39,3,0.5,0.86,0.71,60,60,480,740,480,0,0,1,0,0,0,0,2,2,1,2,1,2,2,2,1,1,0,1,0,1,1,1,-1,1,1,1,1,0,1,0,1,0,0,0,0,4,51,1.39,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
24,2bphrpya,5ead8f2848b26f423b971747,2,right,right,NA,NA,2,1,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,1,1,38,38,0,1,1,30,30,0.69,0.54,1.04,0.39,0.41,40,20,380,440,500,0,0,1,0,0,0,0,2,2,1,2,1,2,2,2,1,1,0,1,0,1,1,1,-1,1,1,1,1,0,1,0,1,0,0,0,0,4,51,1.39,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
25,568h578s,651fbf405f6a2b4756a93b5a,3,NA,left,left,NA,3,2,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,option1A_tr.bmp,NA,0,0,25,25,0,0,0,29,23,1.97,3,0.68,0.03,3,-60,-40,220,-340,-300,0,0,-1,1,0,0,1,2,2,2,1,2,2,2,1,1,1,1,0,1,1,1,0,1,1,1,-1,0,0,0,0,1,0,0,0,3,6,51,1.97,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,51
