participant.label,trial,id_in_group,choice1,choice2,computer_choice1,computer_choice2,bet1,bet2,chosen_image_computer,chosen_image_computer_two,my_page_load_time,initial_choice_time,initial_bet_time,second_choice_time,second_bet_time,computer_choice_one,computer_bet_one,computer_choice_two,computer_bet_two
5f24a57c030da70af5ffd2bf,5,1,right,right,NA,NA,2,2,NA,NA,0.63,0.64,1.51,0.51,0.39,0,0,0,0
5f24a57c030da70af5ffd2bf,6,1,left,left,NA,NA,2,2,NA,NA,0.66,0.77,0.55,0.37,0.33,0,0,0,0
5f24a57c030da70af5ffd2bf,7,1,right,right,NA,NA,2,2,NA,NA,0.58,0.64,0.47,1.67,0.68,0,0,0,0
5f24a57c030da70af5ffd2bf,8,1,right,right,NA,NA,3,3,NA,NA,0.68,0.86,0.51,0.55,0.54,0,0,0,0
5f24a57c030da70af5ffd2bf,9,1,NA,NA,right,right,2,1,option1B_tr.bmp,option1B_tr.bmp,0.7,3,1.16,3,3,1,0,1,1
5f24a57c030da70af5ffd2bf,10,1,left,left,NA,NA,2,2,NA,NA,0.72,1.31,1.84,1.46,1.16,0,0,0,0
5f24a57c030da70af5ffd2bf,11,1,left,left,NA,NA,1,3,NA,NA,0.66,1.25,1.59,1.53,0.52,0,0,0,0
5f24a57c030da70af5ffd2bf,12,1,right,right,NA,NA,2,2,NA,NA,0.6,1.15,0.73,1.19,1.05,0,0,0,0
5f24a57c030da70af5ffd2bf,13,1,right,right,NA,NA,1,1,NA,NA,0.6,0.91,0.92,0.64,0.44,0,0,0,0
5f24a57c030da70af5ffd2bf,14,1,left,left,NA,NA,2,2,NA,NA,0.67,0.71,0.49,0.61,0.48,0,0,0,0
5f24a57c030da70af5ffd2bf,15,1,right,left,NA,NA,1,2,NA,NA,0.68,0.95,0.49,0.76,0.46,0,0,0,0
5f24a57c030da70af5ffd2bf,16,1,right,right,NA,NA,1,1,NA,NA,0.68,2.03,0.93,0.63,0.67,0,0,0,0
5f24a57c030da70af5ffd2bf,17,1,right,right,NA,NA,1,1,NA,NA,0.59,0.63,0.64,0.94,0.34,0,0,0,0
5f24a57c030da70af5ffd2bf,18,1,right,right,NA,NA,1,1,NA,NA,0.48,0.54,0.45,0.56,0.39,0,0,0,0
5f24a57c030da70af5ffd2bf,19,1,left,left,NA,NA,1,1,NA,NA,0.62,0.65,0.63,1.59,0.45,0,0,0,0
5f24a57c030da70af5ffd2bf,20,1,right,right,NA,NA,2,2,NA,NA,0.58,0.65,1.01,0.74,0.49,0,0,0,0
5f24a57c030da70af5ffd2bf,21,1,left,left,NA,NA,3,3,NA,NA,0.76,0.56,0.72,0.43,0.32,0,0,0,0
5f24a57c030da70af5ffd2bf,22,1,right,right,NA,NA,3,3,NA,NA,0.58,0.48,0.61,0.9,0.28,0,0,0,0
5f24a57c030da70af5ffd2bf,23,1,left,left,NA,NA,1,1,NA,NA,0.54,1.47,1.02,0.87,0.34,0,0,0,0
5f24a57c030da70af5ffd2bf,24,1,left,left,NA,NA,3,3,NA,NA,0.7,0.71,0.56,0.56,0.34,0,0,0,0
5f24a57c030da70af5ffd2bf,25,1,right,right,NA,NA,3,3,NA,NA,0.59,0.57,0.51,1.06,0.44,0,0,0,0
5f24a57c030da70af5ffd2bf,26,1,left,right,NA,NA,3,1,NA,NA,0.53,0.98,0.44,0.84,0.51,0,0,0,0
5f24a57c030da70af5ffd2bf,27,1,left,left,NA,NA,1,1,NA,NA,0.58,2.54,1.56,0.59,0.33,0,0,0,0
5f24a57c030da70af5ffd2bf,28,1,NA,left,right,NA,2,1,option1B_tr.bmp,NA,0.54,3,2.78,1.89,0.78,1,0,0,0
5f24a57c030da70af5ffd2bf,29,1,right,right,NA,NA,1,1,NA,NA,0.55,1.28,0.86,0.64,0.51,0,0,0,0
