participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
6,u7ds9cx2,5b7550cb09105000015131ae,4,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,NA,1,1,3,2,0,1,1,3,2,1.37,0.54,0.34,1.38,0.38,20,20,120,0,0,0,0,1,0,0,0,0,1,1,2,2,1,1,2,1,1,1,0,0,1,1,0,1,1,1,-1,1,0,0,1,0,0,0,1,0,0,2,2,1.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
7,jmfhfc28,5ea1dc176205ad0c7c941ca1,5,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,3,3,0,1,1,3,3,1.82,1.51,0.8,1.18,0.68,60,60,160,160,160,0,0,1,0,0,0,0,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,1,1,0,0,0,1,0,0,0,0,4,2,1.82,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
9,799cuz13,66742c4307bb2004831faaef,3,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.47,1.02,1.18,1.29,0.43,60,60,60,40,40,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,2,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
10,5ndr17cw,62a338fe5f31e62c27dc5e66,3,NA,NA,right,right,2,1,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0,1,option1B_tr.bmp,option1B_tr.bmp,0,0,1,1,0,0,0,1,1,1.53,3,3,3,3,-40,-20,-60,-40,-60,0,0,-1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6,2,2,1.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
11,taqn9vla,66fc6008cda3d277a8978dbf,5,NA,left,right,NA,1,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0,1,1,0,option1B_tr.bmp,NA,0,1,2,3,1,0,1,2,3,0.59,3,2.51,1.05,1.06,-20,40,40,100,40,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,2,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
12,bozl4qj3,66a65de56966a5ed53b164d1,1,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.64,1.84,0.59,0.86,0.51,20,20,20,20,20,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,2,0.65,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
13,8cb6uo41,634842a70942fb4ba6aa1e88,3,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,3,2,0,1,1,3,2,0.45,0.83,0.46,0.79,1.81,60,60,160,80,80,0,0,1,0,0,0,0,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,1,1,0,0,0,1,0,0,0,0,4,2,1.82,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
16,ip8pc3l3,5cf6e4aae289a80019b6e032,2,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,3,3,0,1,1,3,3,0.36,1.11,1.04,0.55,0.71,40,40,160,140,140,0,0,1,0,0,0,0,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,1,1,0,0,0,1,0,0,0,0,4,2,1.82,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
17,nfldfczt,6761c8d87193a04458a6f291,1,NA,NA,left,left,3,2,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0,1,0,1,option1B_tr.bmp,option1B_tr.bmp,0,0,2,1,0,0,0,2,1,0.48,3,3,3,3,-60,-40,40,-80,-100,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6,4,2,1.82,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
18,zgc6suv8,5bdcdbe6ee652a0001eff5f2,4,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.47,0.52,1.45,0.73,0.66,40,40,20,40,40,0,0,1,0,0,0,0,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,1,1,0,0,0,1,0,0,0,0,4,2,1.82,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,2
