participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10
59b69d4fb269ef0001801733,1,djfcv4qm,5,left,left,NA,NA,1,1,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,0,0,0,0,0,0,0,1.03,1.38,0.51,0.59,0.38,-20,-20,-20,-20,-20,0,0,-1,0,0,0,0,2,2,1,1,2,2,1,2,0,0,1,1,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,2,1,1.13,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5
672a3488a8bffdf9dac2b72f,2,gyubbbth,1,left,left,NA,NA,1,1,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,0,0,0,0,0,0,0,0.86,1.19,0.5,0.9,0.36,-20,-20,-20,-20,-20,0,0,-1,0,0,0,0,2,1,1,2,2,1,2,2,0,1,1,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,2,1,1.13,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,26,5,2,6,5,2,2,4,1,3,14,18,18,8,8,9,12,4,8,11,59,29,2
587b7ab8c192390001d60136,3,gunf45xl,4,left,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,0.25,0.75,0.75,0.25,NA,NA,1,0,1,0,1,1,0,1,0,1.13,1.42,1.19,0.57,0.59,60,-60,60,-60,60,0,0,-1,0,0,0,0,2,2,1,2,2,2,1,2,0,0,1,0,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,2,1,1.13,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2
5e9b60ab511e7a0650994050,4,8g9qhxee,3,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0,1,NA,NA,1,1,1,1,0,1,1,1,1,1.05,1.87,1.3,1.58,0.51,40,40,40,40,40,0,0,1,0,0,0,0,2,2,1,2,2,2,2,2,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,2,1,1.13,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1
665ad886225977530cd6579c,5,myjr2c4x,2,left,left,NA,NA,2,2,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,0,0,0,0,0,0,0,0.61,1.93,1.45,0.42,0.38,-40,-40,-40,-40,-40,0,0,-1,0,0,0,0,2,1,1,2,2,1,2,2,0,1,1,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,2,1,1.13,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,32,4,2,0,2,0,12,6,1,6,13,22,14,7,10,14,7,7,18,2,57,31,2
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,2,2,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.59,1.45,0.41,0.75,0.37,-40,-40,-40,-40,-40,0,0,-1,0,0,0,0,2,1,1,2,2,1,2,1,0,1,1,0,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,1,2,1,1.16,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2
5e3c759575109a055e99b38a,23,uro33w1j,2,right,right,NA,NA,1,1,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.29,2.02,1.12,0.61,0.47,-20,-20,-20,-20,-20,0,0,-1,0,0,0,0,1,2,2,1,2,1,2,1,1,0,0,1,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,3,1,0.53,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.28,0.67,0.69,1.29,0.42,20,20,20,20,20,0,0,1,0,0,0,0,2,2,1,2,2,2,2,1,0,0,1,0,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,0,1,2,1,1.16,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,left,left,NA,NA,2,2,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.44,1.28,0.86,2.25,1.03,-40,-40,-40,-40,-40,0,0,-1,0,0,0,0,1,2,2,1,2,2,1,1,1,0,0,1,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,3,1,0.53,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0
66095082185479f7db42d782,26,c8le880w,4,right,left,NA,NA,2,2,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1B.bmp,2,0.25,0.75,0.5,0.5,NA,NA,1,0,NA,NA,1,1,0,NA,NA,0.34,0.92,1.32,2.57,1.35,40,-40,40,-40,40,0,0,-1,0,0,0,0,2,2,1,2,2,2,1,1,0,0,1,0,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,1,2,1,1.16,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
