participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10
607d6e86f96c147cf2b3223c,2,0r57elef,1,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,0,1,1,1.19,0.83,1.48,0.29,0.5,60,60,300,440,420,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,2,31,1.32,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2
5e3c759575109a055e99b38a,3,uro33w1j,2,left,left,NA,NA,1,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0,1,0,1,NA,NA,1,1,0,1,1,0.61,0.44,0.32,0.48,0.45,20,20,260,240,280,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,31,0.89,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2
67862f57b5350ebed10fac1f,4,v5uzjzeq,3,left,left,NA,NA,1,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,0,1,1,0.8,0.56,0.39,0.53,0.45,20,20,260,260,280,0,0,1,0,0,0,0,2,1,1,2,2,1,1,2,1,0,0,1,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,2,31,1.32,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622bb4f79c52ad04bb91e752,5,r0epnh5n,4,left,left,NA,NA,1,3,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,0,0,0,0,0,0.66,1.13,1.87,1.09,0.51,-20,-60,-40,60,80,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,0,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,3,31,0.89,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0
66095082185479f7db42d782,6,c8le880w,4,left,left,NA,NA,3,2,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,NA,NA,0,0,0,0,0,1.04,0.67,0.38,0.67,0.41,-60,-40,-140,-40,0,0,0,-1,0,0,0,0,2,1,2,2,2,1,2,2,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,2,31,1.32,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610d4df86c4abc6b5ced6fa0,7,fe87ewee,3,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,0,0,0,0,0,0.89,1.45,0.5,0.88,0.41,-60,-60,-200,180,-540,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,0,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,3,31,0.89,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2
5e3024d69366c7000c4025ff,8,vmj6j5sf,1,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,0,0,0,0,0,0.62,0.86,1.26,0.41,0.4,-60,-60,160,-320,40,0,0,-1,0,0,0,0,2,1,1,1,2,1,1,1,1,0,0,0,1,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,3,31,0.89,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6
66cdd069637121e241f7a40a,11,ilvocnr8,5,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,0,0,0,0,0,0.76,0.49,1.54,0.41,0.73,-60,-60,0,-180,-60,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,0,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,3,31,0.89,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4
5aa696af6219a30001c75d2a,12,sla165sp,5,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,1,1,0,1,1,1.32,0.63,0.92,1.97,0.61,60,60,-180,80,-200,0,0,1,0,0,0,0,2,1,2,1,2,1,2,1,1,0,1,0,1,0,1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,2,31,1.32,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,31,44,7,2,29,29,2,4,12,2,3,13,11,10,8,9,19,5,5,18,58,43,33,4
5c4338d8a04c050001a0a876,1,zcf1egr7,2,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1B.bmp,2,1,0,1,0,NA,NA,1,1,0,1,1,0.43,0.79,1.14,0.55,0.74,60,60,120,-80,-80,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,32,0.96,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,32,46,7,2,7,14,0,0,0,0,7,13,21,8,7,14,18,1,7,0,21,50,33,3
607d6e86f96c147cf2b3223c,2,0r57elef,1,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,1,0,1,0,NA,NA,1,1,0,1,1,0.58,1,1.5,1.03,1.09,60,60,360,500,480,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,32,0.96,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,32,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2
5e3c759575109a055e99b38a,3,uro33w1j,2,left,left,NA,NA,1,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,1,0,1,0,NA,NA,1,1,0,1,1,0.38,0.52,0.78,0.32,0.3,20,20,280,260,300,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,3,32,1.14,0,1,0.3,0.7,option1B.bmp,option1A.bmp,0,32,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2
