participant.label,participant.id_in_session,player.bet1,player.bet2,player.chosen_image_one_binary,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.choice1_accuracy,player.choice2_accuracy,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.trial_number,group.reversal_happened
59b69d4fb269ef0001801733,1,1,1,2,2,0.5,0.5,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.75,0.25,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.75,0.25,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.25,0.75,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0
59b69d4fb269ef0001801733,1,3,3,2,2,0.25,0.75,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.75,0.25,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.75,0.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
59b69d4fb269ef0001801733,1,3,3,1,1,1,0,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0
59b69d4fb269ef0001801733,1,3,3,1,2,1,0,0.75,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
59b69d4fb269ef0001801733,1,3,3,2,1,0,1,0.75,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.75,0.25,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
59b69d4fb269ef0001801733,1,3,3,1,1,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
59b69d4fb269ef0001801733,1,3,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0
59b69d4fb269ef0001801733,1,3,3,1,1,1,0,0.75,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
