participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.high_percent_image,group.low_percent_image,group.reversal_happened,subsession.round_number,session.code,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10,player.main_task_bonus,player.task_understanding,player.task_difficulty,player.engagement,player.influence,player.real_players,player.attention_focus,player.main_task_group_id
666d914c8a386185e18db071,4,nyi4l86w,1,left,NA,NA,left,3,2,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,option1B_tr.bmp,0,0,1,0,0,0,0,1,1,0.5,1.43,1.13,3,0.88,-60,-40,0,0,0,0,0,-1,0,0,1,0,1,2,1,2,1,2,2,1,1,0,1,0,1,0,0,1,1,-1,-1,1,0,0,1,0,0,0,1,0,1,4,1,0.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,74u25ss6,47,7,2,51,40,6,18,14,5,5,9,14,16,7,5,16,7,10,38,91,47,28,4,0.77,60,75,90,58,20,74,4
665d5a08c8e61c18498d08c9,6,hsmvook6,3,left,NA,NA,right,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,option1A_tr.bmp,0,1,1,2,1,0,1,1,2,1.67,0.91,0.4,3,2.43,-40,40,0,80,80,0,0,1,0,0,1,0,1,1,2,2,1,2,1,1,1,1,0,0,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,1,2,1,2.53,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,74u25ss6,29,8,2,31,29,14,16,20,11,4,10,8,8,7,4,9,8,15,50,60,34,21,5,0,86,33,83,13,11,25,2
6765877a0722b290bb4ab344,14,0jgxfvxg,4,NA,right,left,NA,1,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,option1B_tr.bmp,NA,0,1,1,1,1,0,1,1,2,6.84,3,3,1.63,0.83,-20,60,0,100,100,0,0,1,1,1,0,0,1,1,2,1,1,2,1,1,1,1,0,1,1,0,1,1,1,-1,1,1,0,0,1,0,0,0,0,0,1,3,1,6.92,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,74u25ss6,35,7,2,24,27,0,2,12,6,5,14,8,7,7,6,20,7,11,14,51,37,33,2,1.23,23,35,76,4,0,12,3
604541676af7216614098dde,16,0l78zd7k,1,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,NA,1,1,1,1,0,1,1,2,2,6.54,1.26,0.77,1.35,1.53,60,60,80,120,120,0,0,1,0,0,0,0,1,2,2,1,2,1,1,1,1,0,0,1,0,1,1,1,-1,1,1,1,0,1,1,0,0,0,0,0,0,3,1,6.92,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,74u25ss6,42,5,1,18,14,0,18,12,8,6,14,17,21,8,6,15,13,14,30,32,61,34,4,0.07,90,70,100,9,0,0,3
6266b0409582f553a3e10d9a,53,fzw9vp9g,3,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,0.85,1.08,1.04,1.86,0.53,-60,-60,-20,-20,-20,0,0,-1,0,0,0,0,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,4,1,1.2,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,pux7wcw8,55,6,1,45,39,0,0,0,7,6,15,14,14,11,10,15,11,13,0,84,55,36,2,0,100,85,100,63,26,74,4
66fd3f6c93c24ecc119be354,68,wtvjbirf,3,left,left,NA,NA,2,2,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0,1,NA,NA,0,0,1,1,0,0,0,1,1,2,2.54,0.75,1.18,0.35,-40,-40,0,0,0,0,0,-1,0,0,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2.51,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,hi63wwdi,38,5,1,1,18,20,37,26,7,4,7,15,12,9,8,23,18,11,86,19,44,49,3,0.17,100,0,89,33,25,49,2
675330fb23080b9ae3ec8239,111,n5xke4zd,1,right,NA,NA,right,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,option1A_tr.bmp,1,1,1,1,0,1,1,2,2,1.23,1.14,0.55,3,2.79,60,60,80,120,120,0,0,1,0,0,1,0,2,1,1,1,1,2,1,2,0,1,1,1,1,0,1,0,1,-1,1,-1,0,1,0,0,1,0,0,1,1,4,1,1.23,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,20jgwd1t,NA,8,1,31,11,8,0,0,0,3,16,15,18,10,4,9,6,3,8,42,60,19,4,1.03,90,0,95,30,0,50,4
5af32f9d003f6c0001f2905b,131,yljjtkc2,2,right,right,NA,NA,3,3,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,0,0,1,1,0,0,0,1,1,0.56,1.83,0.93,0.58,0.61,-60,-60,0,-20,-20,0,0,-1,0,0,0,0,2,2,1,2,2,1,1,2,0,0,1,0,0,1,1,0,-1,1,1,-1,0,0,1,0,0,1,0,0,0,3,1,0.66,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,67,7,2,22,18,2,0,0,0,2,7,7,12,7,10,9,9,2,2,40,34,28,0,0,94,4,81,32,16,79,3
6658b198f863db3c5d605d13,136,4wfwd5ce,1,NA,left,left,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.25,0.75,option1A_tr.bmp,NA,1,1,1,2,0,1,1,2,2,1.01,3,3,1.85,1.52,40,40,100,100,100,0,0,1,1,1,0,0,2,2,2,1,2,2,1,2,0,0,0,1,0,0,1,0,-1,-1,1,-1,0,1,0,0,0,0,0,0,1,2,1,1.23,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,24,7,2,22,35,16,16,28,9,1,10,8,14,7,3,5,16,10,60,57,40,24,2,0.8,82,58,82,29,29,84,2
677536fb35bfe170ef2d8f1e,138,mdkm1zim,4,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.27,1.06,0.71,0.91,0.77,60,60,100,100,100,0,0,1,0,0,0,0,1,2,2,1,1,1,2,1,1,0,0,1,1,1,0,1,1,1,-1,1,1,0,1,1,1,0,0,1,0,5,1,0.86,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,49,5,1,19,17,18,12,14,9,7,10,13,16,13,9,12,15,16,44,36,53,36,4,0.67,70,26,77,57,28,93,5
