participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.high_percent_image,group.low_percent_image,group.reversal_happened,subsession.round_number,session.code,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10,player.main_task_bonus,player.task_understanding,player.task_difficulty,player.engagement,player.influence,player.real_players,player.attention_focus,player.main_task_group_id
5d7a1fce27fb8a000196993e,99,g3dcw304,1,left,left,NA,NA,2,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,6.61,1.37,1.71,0.95,1.67,-40,-60,0,-20,-20,0,0,-1,0,0,0,0,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,1,0,2,1,6.93,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,20jgwd1t,49,7,1,8,16,2,0,8,1,1,8,15,9,8,4,13,1,2,10,24,41,18,3,1.3,100,75,100,40,100,83,2
5a7226d9f660ae0001a9a547,101,smfcg4g1,3,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,6.39,1.68,1.62,0.7,1.08,-60,-60,-20,-20,-20,0,0,-1,0,0,0,0,2,1,2,2,2,1,2,1,0,1,0,0,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,2,1,6.93,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,20jgwd1t,26,5,2,53,59,0,0,0,9,8,7,7,7,7,3,20,14,17,0,112,29,37,9,0.1,100,0,100,66,100,100,2
6729f7987218cfa68089875a,109,b9i4kqu0,4,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.5,0.5,NA,NA,1,1,1,2,0,1,1,2,2,0.77,1,1.28,0.68,0.63,60,60,100,100,100,0,0,1,0,0,0,0,1,2,1,1,1,1,2,2,1,0,1,1,1,1,0,0,1,1,-1,-1,0,0,1,0,1,1,0,1,0,4,1,1.23,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,20jgwd1t,32,8,1,3,3,0,0,0,0,2,10,17,12,12,13,12,3,2,0,6,52,28,1,1.57,100,60,100,44,100,64,4
6740caf1acac02399ff5ce7a,121,03dxmu50,1,NA,NA,right,right,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,option1A_tr.bmp,option1A_tr.bmp,1,1,2,1,0,1,1,2,2,0.69,1.31,3,3,2.4,60,40,120,60,60,0,0,1,1,1,1,0,2,2,1,1,1,2,1,1,0,0,1,1,1,0,1,1,1,-1,1,1,0,1,0,1,0,0,0,1,4,5,1,0.86,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,100,41,100,99,100,100,5
5eca536f9aa4f658d641a7d9,122,fojjs599,5,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,0,0,1,1,0,0,0,1,1,0.66,1.02,0.82,0.68,0.55,-60,-60,-40,-40,-40,0,0,-1,0,0,0,0,2,2,2,1,2,2,1,1,0,0,0,1,0,0,1,1,-1,-1,1,1,0,0,0,1,0,0,1,0,0,3,1,0.66,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,54,5,2,6,3,0,0,2,0,0,9,12,16,14,11,9,1,0,2,9,52,21,1,0.53,100,0,100,0,100,100,3
661ff1375e36e533ec479a8c,123,hc799a7p,1,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,1,2,0,1,1,2,2,0.5,1.76,0.98,1.83,0.54,60,60,120,120,120,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,4,1,0.89,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,43,7,2,20,32,6,16,8,8,5,11,9,10,7,6,20,18,13,30,52,38,44,2,1.33,96,15,98,65,100,100,4
59d3ef2c078dbe000195117f,130,7qkt4yw9,2,right,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,1,2,1,0,1,1,2,0.4,0.67,0.41,0.59,0.39,-40,40,20,100,100,0,0,1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,1,1,0,1,1,0,0,1,0,5,1,0.86,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,md97ik2a,50,5,2,24,19,2,0,0,1,1,13,8,9,7,9,16,5,2,2,43,38,30,0,1.47,100,0,86,41,100,100,5
5f32e77f34cb5e09af85ff3e,177,csoyz9cu,4,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.64,0.72,0.43,0.43,0.27,60,60,100,100,100,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0,4,1,0.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,3v7gjqiw,28,7,2,11,19,4,4,12,7,3,7,9,9,7,9,13,17,10,20,30,33,39,8,0,86,85,37,60,100,100,4
5ef6354b6d77930e716a2a1d,189,mq4tulsh,3,right,right,NA,NA,2,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.91,1.57,0.75,1.33,0.35,40,60,80,120,120,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,0,0,0,1,0,0,0,0,0,2,1,0.91,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,6ck5vmcc,42,6,1,36,30,4,8,4,4,1,13,12,13,8,6,11,11,5,16,66,47,28,1,0,100,80,50,100,100,100,2
545d347afdf99b7f9fca22c7,191,atkbxrri,2,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.75,0.25,NA,NA,1,1,1,2,0,1,1,2,2,1.54,1.31,1.02,0.52,0.45,60,60,120,120,120,0,0,1,0,0,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,1,0,0,5,1,1.73,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,1,6ck5vmcc,34,5,1,15,10,6,0,0,0,5,9,14,7,7,9,13,6,5,6,25,38,28,2,2.03,100,0,100,35,100,100,5
