Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67b84fe367e53e44d14e68f9,5c60501d767686000100150c,APPROVED,Not Applicable,2025-02-21T10:05:23.604000Z,2025-02-21T10:06:11.705000Z,2025-02-21T10:06:14.329000Z,2025-02-21T10:06:12.507141Z,49.0,CT07DN9I,2635,English,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67b84fe5dcd7632d4096f653,5cf765f7b026f40001fe1bc6,APPROVED,Not Applicable,2025-02-21T10:05:25.800000Z,2025-02-21T10:06:28.084000Z,2025-02-21T10:06:28.824000Z,2025-02-21T10:06:28.753082Z,63.0,CT07DN9I,1019,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67b8500b4760bb9bce5f6a4b,66601c2ba9e0e765393cb695,RETURNED,Not Applicable,2025-02-21T10:06:07.801000Z,2025-02-21T10:06:20.013000Z,,2025-02-21T10:30:03.314601Z,,C119OUC7,470,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b8500e5ef8d92bc821948a,60886f033e4f5c214da0c898,APPROVED,Not Applicable,2025-02-21T10:07:35.047000Z,2025-02-21T10:07:56.797000Z,2025-02-21T10:15:10.058000Z,2025-02-21T10:07:57.586493Z,22.0,CT07DN9I,2359,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
67b8500e67e53e44d14e6907,67633e21c1dbfc7844faf425,RETURNED,Not Applicable,2025-02-21T10:16:06.953000Z,,,2025-02-21T10:30:03.300873Z,,,194,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b850108d7b19f0eb5735dc,66d890366a2497885067a8f8,APPROVED,Not Applicable,2025-02-21T10:06:45.607000Z,2025-02-21T10:07:12.765000Z,2025-02-21T10:15:10.753000Z,2025-02-21T10:07:13.258330Z,28.0,CT07DN9I,469,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b850140fbd085ed7a16756,676582ce8948af9588e17a04,APPROVED,Not Applicable,2025-02-21T10:10:46.144000Z,2025-02-21T10:11:26.494000Z,2025-02-21T10:11:27.195000Z,2025-02-21T10:11:27.098761Z,41.0,CT07DN9I,42,English,25,Female,Black,Nigeria,United Kingdom,United Kingdom,English,No,Full-Time
67b8501d67c711be5293690b,55885582fdf99b4021921fbd,RETURNED,Not Applicable,2025-02-21T10:06:21.056000Z,,,2025-02-21T10:30:03.306960Z,,,4825,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b85020cb63a41c93a30460,676aab686910868d517890b6,RETURNED,Not Applicable,2025-02-21T10:06:53.548000Z,2025-02-21T10:07:34.705000Z,,2025-02-21T10:30:03.351280Z,,C119OUC7,27,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67b8502105fa5a8fee67b31d,67390dd94909abc2cafc84da,APPROVED,Not Applicable,2025-02-21T10:07:00.458000Z,2025-02-21T10:07:34.038000Z,2025-02-21T10:07:34.951000Z,2025-02-21T10:07:34.855614Z,34.0,CT07DN9I,173,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b85023877dc019bb41c84d,677c2fc7d34ead450c40271e,APPROVED,Not Applicable,2025-02-21T10:06:48.347000Z,2025-02-21T10:07:11.537000Z,2025-02-21T10:15:10.993000Z,2025-02-21T10:07:12.159482Z,24.0,CT07DN9I,22,English,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b850253dc619eab3a16478,665f5b11085e3574cdc7cde3,APPROVED,Not Applicable,2025-02-21T10:06:40.343000Z,2025-02-21T10:07:16.101000Z,2025-02-21T10:07:16.937000Z,2025-02-21T10:07:16.796426Z,36.0,CT07DN9I,441,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b85029bf330fc80a70cb3e,596e000bfb7959000162f52f,APPROVED,Not Applicable,2025-02-21T10:06:41.746000Z,2025-02-21T10:07:20.705000Z,2025-02-21T10:07:21.494000Z,2025-02-21T10:07:21.425170Z,39.0,CT07DN9I,1299,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b8502efcdd93084c37e3ca,659c01027a942e6d4d2bd6a4,APPROVED,Not Applicable,2025-02-21T10:06:43.345000Z,2025-02-21T10:07:02.588000Z,2025-02-21T10:15:11.252000Z,2025-02-21T10:07:03.302220Z,20.0,CT07DN9I,260,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
67b8502f1b520ff7c7201a43,677ef0198fc5d8193c009e35,APPROVED,Not Applicable,2025-02-21T10:08:39.734000Z,2025-02-21T10:09:10.828000Z,2025-02-21T10:09:11.809000Z,2025-02-21T10:09:11.578346Z,32.0,CT07DN9I,49,English,39,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67b850359f6409037e5d6d83,676578b520552faa04a8ef83,APPROVED,Not Applicable,2025-02-21T10:06:45.408000Z,2025-02-21T10:07:52.826000Z,2025-02-21T10:07:53.501000Z,2025-02-21T10:07:53.413347Z,68.0,CT07DN9I,25,English,31,Female,White,Albania,United Kingdom,Albania,Albanian,No,Full-Time
67b8503688e8c1cd8da19374,671ce69ff883fe3c3ae81cdf,APPROVED,Not Applicable,2025-02-21T10:07:09.002000Z,2025-02-21T10:07:34.252000Z,2025-02-21T10:15:11.517000Z,2025-02-21T10:07:34.844140Z,26.0,CT07DN9I,190,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
