participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
2,o1jlxena,5f2fcda9700ba6032442db9c,4,left,right,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0,1,1,0,NA,NA,0,1,0,2,1,0,1,0,2,0.65,0.99,0.41,1.4,1.11,-60,40,-120,100,100,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0.79,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
3,yt6odell,60719f4b18e2b30c9e5a562d,3,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.79,0.73,0.75,0.58,0.42,40,40,80,80,80,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0.79,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
4,260fzc5l,5c7c38999f29bd0001349ca9,1,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.25,0.75,NA,NA,1,1,2,2,0,1,1,2,2,0.46,1.65,1.23,1.08,0.65,60,60,120,100,100,0,0,1,0,0,0,0,2,1,1,1,2,2,1,2,0,1,1,1,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,0,1,0,3,1,3.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
5,azgqf2m1,663791040de5898120ca93cd,2,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.5,0.5,NA,NA,0,0,0,0,0,0,0,0,0,0.93,1.7,1.27,0.59,0.64,-60,-60,-120,-120,-120,0,0,-1,0,0,0,0,1,2,2,1,1,1,2,2,1,0,0,1,1,1,0,0,1,1,-1,-1,0,0,0,0,0,0,1,0,0,4,1,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
6,m10xhsi3,59479251f236120001ecf9a2,3,right,right,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,1,1,0,1,1,1,1,0.98,1.49,1.57,1.98,0.64,40,40,20,20,20,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,1,1.44,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
7,kx63pchy,60b3950b9a1de417d37bb8d2,1,right,right,NA,NA,1,1,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.59,0.65,0.78,0.44,0.41,20,20,40,40,40,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0.79,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
8,qvbeolgo,666f1aec64844fbd48cd89b8,4,left,left,NA,NA,2,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,0.25,0.75,NA,NA,1,1,2,2,0,1,1,2,2,0.96,1.04,0.62,0.9,0.27,40,20,60,40,40,0,0,1,0,0,0,0,1,2,1,1,1,2,2,2,1,0,1,1,1,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,3,1,3.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
9,l4pc2g2i,5e11bda11e2e5885070a0b22,2,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.77,0.73,0.79,0.28,0.35,60,60,120,120,120,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0.79,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
11,bd8q66tg,677833b592e5cc616ab5f35f,5,right,right,NA,NA,2,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,2,2,0,1,1,2,2,0.79,1.83,1.56,0.6,0.78,40,60,80,120,120,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0.79,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
12,l8ikj48w,66e0184c55c6299d2c7c0101,2,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.75,0.25,1,0,NA,NA,1,1,1,1,0,1,1,1,1,1.07,1.38,0.81,0.89,0.71,60,60,20,20,20,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,1,1.44,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
