participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.high_percent_image,group.low_percent_image,group.reversal_happened,subsession.round_number,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10,player.main_task_bonus,player.task_understanding,player.task_difficulty,player.engagement,player.influence,player.real_players,player.attention_focus,trial_to_reversal,bet_type,bet
66742c4307bb2004831faaef,9,799cuz13,3,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,9,9,1,0,1,6,8,2.59,0.54,2.04,0.72,0.49,-40,20,-80,100,180,0,0,1,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,3,13,2.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,31,5,2,21,18,6,10,6,11,6,9,10,12,12,8,12,13,17,22,39,44,33,8,0,49,87,85,67,32,42,-3,Bet 1,2
66742c4307bb2004831faaef,9,799cuz13,3,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,9,9,1,0,1,6,8,2.59,0.54,2.04,0.72,0.49,-40,20,-80,100,180,0,0,1,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,3,13,2.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,31,5,2,21,18,6,10,6,11,6,9,10,12,12,8,12,13,17,22,39,44,33,8,0,49,87,85,67,32,42,-3,Bet 2,1
66fc6008cda3d277a8978dbf,11,taqn9vla,5,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,8,10,1,0,1,5,11,2.48,2.64,0.83,2.44,0.4,-60,20,-200,240,-100,0,0,1,0,0,0,0,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,3,13,2.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,36,7,2,53,52,12,35,18,4,5,15,14,19,7,4,15,10,9,68,105,56,29,2,0,100,78,100,81,31,100,-3,Bet 1,3
66fc6008cda3d277a8978dbf,11,taqn9vla,5,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,8,10,1,0,1,5,11,2.48,2.64,0.83,2.44,0.4,-60,20,-200,240,-100,0,0,1,0,0,0,0,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,3,13,2.88,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,36,7,2,53,52,12,35,18,4,5,15,14,19,7,4,15,10,9,68,105,56,29,2,0,100,78,100,81,31,100,-3,Bet 2,1
5bdcdbe6ee652a0001eff5f2,18,zgc6suv8,4,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,0,0,5,5,0,0,0,8,6,0.96,0.4,0.14,0.91,0.01,-40,-40,100,-120,120,0,0,-1,0,0,0,0,2,2,1,2,1,2,2,2,0,0,1,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,1,0,0,0,0,4,13,3.1,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,25,5,2,2,4,0,0,0,0,1,7,7,7,11,10,12,11,1,0,6,33,33,4,0,100,80,100,80,50,80,-3,Bet 1,2
5bdcdbe6ee652a0001eff5f2,18,zgc6suv8,4,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.75,0.25,NA,NA,0,0,5,5,0,0,0,8,6,0.96,0.4,0.14,0.91,0.01,-40,-40,100,-120,120,0,0,-1,0,0,0,0,2,2,1,2,1,2,2,2,0,0,1,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,1,0,0,0,0,4,13,3.1,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,25,5,2,2,4,0,0,0,0,1,7,7,7,11,10,12,11,1,0,6,33,33,4,0,100,80,100,80,50,80,-3,Bet 2,2
5c7c38999f29bd0001349ca9,29,260fzc5l,1,right,right,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.5,0.5,NA,NA,1,1,9,8,0,1,1,8,7,0.57,2.47,1.03,1.25,0.54,60,60,140,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,0,1,-1,1,-1,0,0,0,0,0,0,0,1,0,3,13,0.69,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,26,7,2,27,15,24,28,28,10,4,8,16,18,7,6,6,9,14,80,42,50,21,4,0,100,43,64,30,66,39,-3,Bet 1,3
5c7c38999f29bd0001349ca9,29,260fzc5l,1,right,right,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.5,0.5,NA,NA,1,1,9,8,0,1,1,8,7,0.57,2.47,1.03,1.25,0.54,60,60,140,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,0,1,-1,1,-1,0,0,0,0,0,0,0,1,0,3,13,0.69,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,26,7,2,27,15,24,28,28,10,4,8,16,18,7,6,6,9,14,80,42,50,21,4,0,100,43,64,30,66,39,-3,Bet 2,3
663791040de5898120ca93cd,30,azgqf2m1,2,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,1,0,NA,NA,0,1,7,9,1,0,1,4,6,2.9,0.92,0.87,0.38,0.2,-40,60,-300,-100,-200,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,13,3.05,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,32,8,1,0,1,0,0,0,0,0,7,8,7,7,3,5,1,0,0,1,30,9,1,0,79,50,78,4,50,100,-3,Bet 1,2
663791040de5898120ca93cd,30,azgqf2m1,2,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,1,0,NA,NA,0,1,7,9,1,0,1,4,6,2.9,0.92,0.87,0.38,0.2,-40,60,-300,-100,-200,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,13,3.05,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,32,8,1,0,1,0,0,0,0,0,7,8,7,7,3,5,1,0,0,1,30,9,1,0,79,50,78,4,50,100,-3,Bet 2,3
59479251f236120001ecf9a2,31,m10xhsi3,3,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,9,10,1,0,1,6,7,1.19,1.4,0.48,1.98,0.99,-20,20,0,0,40,0,0,1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,5,13,1.89,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,55,4,1,44,46,2,16,12,11,2,15,13,15,7,5,17,21,13,30,90,51,43,2,0.23,92,39,68,32,92,0,-3,Bet 1,1
59479251f236120001ecf9a2,31,m10xhsi3,3,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.75,0.25,NA,NA,0,1,9,10,1,0,1,6,7,1.19,1.4,0.48,1.98,0.99,-20,20,0,0,40,0,0,1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,5,13,1.89,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,55,4,1,44,46,2,16,12,11,2,15,13,15,7,5,17,21,13,30,90,51,43,2,0.23,92,39,68,32,92,0,-3,Bet 2,1
60b3950b9a1de417d37bb8d2,32,kx63pchy,1,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,13,13,0,1,1,10,10,0.47,0.49,0.61,0.65,0.27,40,40,240,280,240,0,0,1,0,0,0,0,1,1,2,2,2,1,2,1,1,1,0,0,0,1,0,1,-1,1,-1,1,0,0,0,0,1,0,0,0,0,2,13,0.79,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,32,4,1,30,19,10,16,20,3,5,13,16,10,10,17,14,14,8,46,49,50,45,5,0.13,100,100,100,0,0,50,-3,Bet 1,2
60b3950b9a1de417d37bb8d2,32,kx63pchy,1,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,13,13,0,1,1,10,10,0.47,0.49,0.61,0.65,0.27,40,40,240,280,240,0,0,1,0,0,0,0,1,1,2,2,2,1,2,1,1,1,0,0,0,1,0,1,-1,1,-1,1,0,0,0,0,1,0,0,0,0,2,13,0.79,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,32,4,1,30,19,10,16,20,3,5,13,16,10,10,17,14,14,8,46,49,50,45,5,0.13,100,100,100,0,0,50,-3,Bet 2,2
666f1aec64844fbd48cd89b8,33,qvbeolgo,4,right,right,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.5,0.5,NA,NA,1,1,12,14,0,1,1,9,11,0.53,1.15,1.56,0.27,0.14,20,20,160,260,280,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,-1,-1,0,0,0,0,0,0,0,1,0,3,13,0.69,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,19,0,1,21,21,2,12,8,7,1,16,19,20,8,10,16,12,8,22,42,64,38,5,1.6,100,60,100,0,100,30,-3,Bet 1,1
666f1aec64844fbd48cd89b8,33,qvbeolgo,4,right,right,NA,NA,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.5,0.5,NA,NA,1,1,12,14,0,1,1,9,11,0.53,1.15,1.56,0.27,0.14,20,20,160,260,280,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,1,1,-1,-1,0,0,0,0,0,0,0,1,0,3,13,0.69,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,19,0,1,21,21,2,12,8,7,1,16,19,20,8,10,16,12,8,22,42,64,38,5,1.6,100,60,100,0,100,30,-3,Bet 2,1
677833b592e5cc616ab5f35f,36,bd8q66tg,5,left,right,NA,NA,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,0,1,10,9,1,0,1,7,10,0.69,1.64,1.01,1.07,0.97,-20,40,60,320,160,0,0,1,0,0,0,0,1,1,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,-1,1,-1,0,0,0,0,0,1,0,0,0,2,13,0.79,1,0,0.75,0.25,option1A.bmp,option1B.bmp,0,13,36,5,2,11,14,0,4,2,2,6,7,7,8,9,6,11,4,8,6,25,32,21,2,0,50,50,50,50,50,50,-3,Bet 1,1
