participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,klze9pxb,60886f033e4f5c214da0c898,0,294,294,submission,Submit,2025-02-21 12:11:11.784915,1,,,0.0,2,,0.0,left,left,,,1,2,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,4,0,4,0,,,0,0,0,0,0,0,0,0,0,0.49,0.49,1.34,1.48,2.32,1.25,-20,-40,-20,-40,-20,10.0,0.0,0.0,-1,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1740140882.3556414,1740140892.4938157,0,6,1,1,0.69,1,0,5000,1,1740140905769.6985,0.7,0.3,option1A.bmp,option1B.bmp,,0,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
12,jtdw5vuq,660a6b953836d16312814993,0,294,294,submission,Submit,2025-02-21 12:11:13.107261,1,,,0.0,5,,0.0,right,right,,,1,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,2,2,0,4,,,1,1,1,1,0,1,1,1,1,0.59,0.59,0.61,3.0,1.06,0.49,20,60,20,60,20,10.0,0.0,0.0,1,0,1,0,0,2,2,1,1,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1740140435.0299618,1740140445.2156215,0,2,1,1,0.59,1,0,5000,1,1740140457581.5813,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
13,x094onuq,676578b520552faa04a8ef83,0,294,294,submission,Submit,2025-02-21 12:11:25.718658,1,,,0.0,3,,0.0,right,right,,,1,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,3,1,2,2,,,1,1,1,1,0,1,1,1,1,0.63,0.63,2.87,3.0,2.11,1.89,20,40,20,40,20,10.0,0.0,0.0,1,0,1,0,0,2,1,1,1,1,1,2,2,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1740140582.1796148,1740140592.5621033,0,3,1,1,1.04,1,0,5000,1,1740140604737.3809,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
14,bb8p248w,665971fc694c72b87647f8c9,0,294,294,submission,Submit,2025-02-21 12:11:28.500423,1,,,0.0,4,,0.0,right,left,,,3,3,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,3,1,1,3,,,1,0,1,0,1,1,0,1,0,0.21,0.21,1.47,0.62,1.74,0.5,60,-60,60,-60,60,10.0,0.0,0.0,-1,0,0,0,0,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1740140581.780316,1740140591.9193025,0,3,1,1,1.04,1,0,5000,1,1740140604737.3809,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
15,9mcx4bte,63d3f953f8fb0fe970f0d0c6,0,294,294,submission,Submit,2025-02-21 12:11:29.186309,1,,,0.0,1,,0.0,,right,right,,3,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1B.bmp,2,2,2,3,1,option1B_tr.bmp,,0,0,0,0,0,0,0,0,0,0.63,0.63,3.0,3.0,1.06,0.49,-60,-40,-60,-40,-60,10.0,0.0,0.0,-1,1,1,0,0,1,2,2,1,1,2,2,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1740140745.6949093,1740140765.955355,0,5,1,1,0.94,1,0,5000,1,1740140768135.5608,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
16,aandwczj,6015966a246e51095f2235e7,0,294,294,submission,Submit,2025-02-21 12:11:34.160944,1,,,0.0,3,,0.0,,left,right,,2,2,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1B.bmp,2,1,3,2,2,option1A_tr.bmp,,1,0,1,0,1,1,0,1,0,0.77,0.77,1.83,1.17,0.06,0.03,40,-40,40,-40,40,10.0,0.0,0.0,-1,1,0,0,0,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1740141859.31573,1740141880.386374,0,8,1,1,0.83,1,0,5000,1,1740141880419.3774,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
17,pq9n7ai7,58713c5e58ca4c00018ce3ea,0,294,294,submission,Submit,2025-02-21 12:11:35.256949,1,,,0.0,4,,0.0,left,left,,,1,1,option1B.bmp,option1A.bmp,0,option1B.bmp,2,option1B.bmp,2,2,2,3,1,,,0,0,0,0,0,0,0,0,0,0.94,0.94,0.75,2.38,0.47,0.43,-20,-20,-20,-20,-20,10.0,0.0,0.0,-1,0,0,0,0,2,1,2,1,2,1,2,2,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1740140745.2633722,1740140755.4360802,0,5,1,1,0.94,1,0,5000,1,1740140768135.5608,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
18,q7lj79qi,5c5c8b70758f310001ed429a,0,294,294,submission,Submit,2025-02-21 12:11:37.848309,1,,,0.0,4,,0.0,right,right,,,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,3,0,4,,,1,1,1,1,0,1,1,1,1,0.27,0.27,1.15,1.26,0.17,0.64,40,40,40,40,40,10.0,0.0,0.0,1,0,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1740141322.2652347,1740141342.4241638,0,7,1,1,2.08,1,0,5000,1,1740141345737.7324,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
19,98cq6unx,671ce69ff883fe3c3ae81cdf,0,294,294,submission,Submit,2025-02-21 12:11:44.189259,1,,,0.0,4,,0.0,left,right,,,2,2,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1B.bmp,2,0,4,2,2,,,1,0,1,0,1,1,0,1,0,0.33,0.33,2.5,2.0,2.27,0.89,40,-40,40,-40,40,10.0,0.0,0.0,-1,0,0,0,0,2,2,2,2,2,1,1,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1740140649.108427,1740140659.4488084,0,4,1,1,0.44,1,0,5000,1,1740140671319.8171,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
20,r3f2mvc5,66a41543adadffb17baf40b8,0,294,294,submission,Submit,2025-02-21 12:11:45.215968,1,,,0.0,2,,0.0,right,right,,,2,2,option1A.bmp,option1B.bmp,0,option1B.bmp,2,option1B.bmp,2,2,2,2,2,,,0,0,0,0,0,0,0,0,0,0.76,0.76,0.74,0.82,0.63,1.23,-40,-40,-40,-40,-40,10.0,0.0,0.0,-1,0,0,0,0,1,1,2,2,1,2,2,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1740141859.0690389,1740141880.240922,0,8,1,1,0.83,1,0,5000,1,1740141880419.3774,0.7,0.3,option1A.bmp,option1B.bmp,,1,1,0,1,0,0,,,,{},1,d51cjua4,,,,,0
