participant.id_in_session,participant.code,participant.label,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number
1,9ph45ong,63e5747f1eb29ec68ae2ddd6,3,left,right,NA,NA,1,2,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,1,0,0,1,NA,NA,1,0,2,1,1,1,0,2,1,0.55,0.34,1.68,0.9,0.61,20,-40,40,-20,-20,0,0,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,0.89,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
2,03dxmu50,6740caf1acac02399ff5ce7a,1,NA,NA,right,right,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.75,0.25,option1A_tr.bmp,option1A_tr.bmp,1,1,2,1,0,1,1,2,2,0.69,1.31,3,3,2.4,60,40,120,60,60,0,0,1,1,1,1,0,2,2,1,1,1,2,1,1,0,0,1,1,1,0,1,1,1,-1,1,1,0,1,0,1,0,0,0,1,4,5,1,0.86,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
3,fojjs599,5eca536f9aa4f658d641a7d9,5,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,0,0,1,1,0,0,0,1,1,0.66,1.02,0.82,0.68,0.55,-60,-60,-40,-40,-40,0,0,-1,0,0,0,0,2,2,2,1,2,2,1,1,0,0,0,1,0,0,1,1,-1,-1,1,1,0,0,0,1,0,0,1,0,0,3,1,0.66,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
4,hc799a7p,661ff1375e36e533ec479a8c,1,left,left,NA,NA,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,1,2,0,1,1,2,2,0.5,1.76,0.98,1.83,0.54,60,60,120,120,120,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,4,1,0.89,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
5,hwrlkkd6,59f873de07e3780001ccd6e4,2,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.69,2.52,1.28,1.43,0.61,20,20,80,80,80,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,4,1,0.89,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
6,0t9rv2ck,57b248d52075e2000113ba3d,3,left,NA,NA,right,3,1,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1A.bmp,1,0.75,0.25,0.25,0.75,NA,option1A_tr.bmp,0,1,1,1,1,0,1,1,2,0.61,1.27,0.53,3,0.46,-60,20,0,60,60,0,0,1,0,0,1,0,2,2,1,2,2,2,1,2,0,0,1,0,0,0,1,0,-1,-1,1,-1,0,0,1,0,0,0,0,0,1,3,1,0.66,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
7,mmsd69xk,596e1edd39e9d00001b7bb98,4,NA,left,left,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0,1,0.25,0.75,option1A_tr.bmp,NA,1,1,2,2,0,1,1,2,2,0.46,3,1.45,1.06,0.85,20,20,80,80,80,0,0,1,1,0,0,0,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,-1,-1,1,-1,0,0,0,0,0,0,1,0,1,3,1,0.66,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
8,sslaiy4e,5b0b369230d5620001553596,1,left,left,NA,NA,3,3,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,0.5,0.5,NA,NA,0,0,0,0,0,0,0,1,1,0.53,1.76,0.64,2.12,0.35,-60,-60,0,0,0,0,0,-1,0,0,0,0,2,2,1,2,2,1,1,2,0,0,1,0,0,1,1,0,-1,1,1,-1,0,0,1,0,0,1,0,0,0,3,1,0.66,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
9,46svetpb,6085a4cc5f5f9ba1a3bfd785,4,right,left,NA,NA,1,2,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.5,0.5,0.25,0.75,NA,NA,0,1,1,1,1,0,1,1,2,1.23,0.71,0.97,0.77,0.68,-20,40,20,60,60,0,0,1,0,0,0,0,1,2,2,1,1,2,2,2,1,0,0,1,1,0,0,0,1,-1,-1,-1,1,0,1,0,0,0,0,0,0,2,1,1.23,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
10,n13dr538,6658da867c86929c183cec40,4,left,left,NA,NA,1,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,0,0.75,0.25,NA,NA,1,1,2,2,0,1,1,2,2,0.59,0.53,0.76,0.44,0.33,20,20,80,80,80,0,0,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,4,1,0.89,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,1
