participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.cumulative_computer_choice_count,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,51600f0a,66bfd3867e3dd5e2c19650b9,0,298,298,submission,Submit,2025-03-06T14:59:11Z,1,NA,NA,0,5,NA,0,NA,right,left,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1B.bmp,2,1,3,3,1,option1A_tr.bmp,NA,1,0,1,0,1,1,1,1,1,0.16,0.16,3,3,0.6,0.37,40,40,40,40,40,10,0,0,1,1,1,0,0,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1741274195.1358223,1741274215.5365334,0,4,1,1,0.56,1,1,5000,1,1741274216763.6482,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
2,ky73j8yc,64137cf15dfe79e9ff198054,0,37,298,main_task,WaitPage2,2025-03-06T14:59:11Z,1,NA,NA,0,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,1,NA,1,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,0,0,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,0,0,NA,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,0,0,0,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
3,64b5pb6z,647849063b9fd9be24803727,0,298,298,submission,Submit,2025-03-06T14:59:51Z,1,NA,NA,0,5,NA,0,right,right,NA,NA,3,3,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1A.bmp,1,1,3,1,3,NA,NA,1,1,1,1,0,1,1,1,1,0.32,0.32,1.75,1.28,1.22,0.74,60,60,60,60,60,10,0,0,1,0,0,0,0,2,2,2,1,2,1,2,2,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1741274086.509509,1741274106.9429104,0,3,1,1,0.38,1,1,5000,1,1741274109593.568,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
4,nyi4l86w,666d914c8a386185e18db071,0,298,298,submission,Submit,2025-03-06T15:00:02Z,1,NA,NA,0,1,NA,0,right,left,NA,NA,3,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,1,3,3,1,NA,NA,1,0,1,0,1,1,1,1,1,0.16,0.16,0.32,1.06,0.78,0.52,60,40,60,40,40,10,0,0,1,0,0,0,0,2,2,2,1,2,2,1,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1741274194.8610911,1741274214.9674225,0,4,1,1,0.56,1,1,5000,1,1741274216763.6482,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
5,lxmv0a2d,673f6ffebce20832346325de,0,298,298,submission,Submit,2025-03-06T15:00:07Z,1,NA,NA,0,2,NA,0,left,left,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,2,2,3,1,NA,NA,0,0,0,0,0,1,1,1,1,0.56,0.56,1.04,0.83,0.88,0.56,40,40,40,40,40,10,0,0,1,0,0,0,0,1,2,2,1,2,2,1,2,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1741274195.4756885,1741274205.980617,0,4,1,1,0.56,1,1,5000,1,1741274216763.6482,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
6,hsmvook6,665d5a08c8e61c18498d08c9,0,298,298,submission,Submit,2025-03-06T15:00:13Z,1,NA,NA,0,3,NA,0,left,left,NA,NA,2,2,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,1,3,0,4,NA,NA,1,1,1,1,0,1,1,1,1,0.37,0.37,1.28,2.03,0.36,0.35,40,40,40,40,40,10,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1741273821.9958985,1741273832.2432525,0,2,1,1,1.02,1,1,5000,1,1741273844119.225,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
7,4km1iyi7,6426cfe964863ee2ff26642f,0,298,298,submission,Submit,2025-03-06T15:00:13Z,1,NA,NA,0,2,NA,0,left,left,NA,NA,2,2,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,2,2,3,1,NA,NA,0,0,0,0,0,1,1,1,1,0.68,0.68,1.11,2.33,0.66,0.43,40,40,40,40,40,10,0,0,1,0,0,0,0,1,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1741273823.0482433,1741273843.5632868,0,2,1,1,1.02,1,1,5000,1,1741273844119.225,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
8,wp5thczz,67744dd5d793cc3d79ba38fc,0,298,298,submission,Submit,2025-03-06T15:00:16Z,1,NA,NA,0,3,NA,0,left,NA,NA,left,1,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,2,2,2,2,NA,option1B_tr.bmp,0,0,0,0,0,1,1,1,1,0.35,0.35,2.66,3,3,3.79,20,60,20,60,60,10,0,0,1,0,1,1,0,2,2,1,1,2,1,2,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1741274086.65832,1741274107.0711637,0,3,1,1,0.38,1,1,5000,1,1741274109593.568,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
9,2t9swlla,5cad1eef8ed53d00180d2532,0,37,298,main_task,WaitPage2,2025-03-06T15:00:17Z,1,NA,NA,0,9,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,NA,1,NA,1,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,10,0,0,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,0,0,NA,0.7,0.3,option1A.bmp,option1B.bmp,NA,0,0,0,0,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
10,yp6gatxq,5fbccd88199e4319f7a988d2,0,298,298,submission,Submit,2025-03-06T15:00:20Z,1,NA,NA,0,1,NA,0,right,NA,NA,left,2,2,option1B.bmp,option1A.bmp,1,option1A.bmp,1,option1B.bmp,2,1,3,3,1,NA,option1B_tr.bmp,1,0,1,0,1,1,1,1,1,1.02,1.02,0.81,3,3,3,40,40,40,40,40,10,0,0,1,0,1,1,1,2,1,2,2,2,1,2,2,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1741273823.0990472,1741273843.861167,0,2,1,1,1.02,1,1,5000,1,1741273844119.225,0.7,0.3,option1A.bmp,option1B.bmp,NA,1,1,0,1,0,0,NA,NA,NA,{},1,74u25ss6,NA,NA,NA,NA,0
